Target affinity,Predicted logps,Predicted qeds,Predicted sas,Predicted tpsas,Predicted affinity,key
-10.0,5.889300000000004,0.37998343805173623,2.1633189300135047,67.77000000000001,-10.0,-10
-10.0,5.586300000000005,0.34251141474672714,3.3149128360518763,96.03,-10.8,-10
-10.0,5.7729000000000035,0.4499751736855702,2.5934320325402247,57.7,-10.0,-10
-10.0,5.257900000000003,0.6493280303023419,2.2548885331227044,49.33,-10.2,-10
-10.0,2.9369400000000017,0.7370953267995473,3.1235384112644162,93.94999999999999,-9.9,-10
-10.0,3.2623700000000015,0.43903501885713436,2.7402993110464973,112.32999999999998,,-10
-10.0,4.932520000000003,0.5332264691506117,3.275614427109863,71.18,-8.9,-10
-10.0,7.0753000000000075,0.1689707539742791,4.3404775886880405,80.68,-9.5,-10
-10.0,4.720300000000005,0.5816228554968076,3.4714971781580575,64.85,-9.1,-10
-10.0,5.585820000000003,0.4223865841185213,2.227919045710289,79.04,-9.9,-10
-10.0,5.217600000000004,0.40247773170530043,2.1371121613402284,83.80000000000001,-10.6,-10
-10.0,2.9960000000000013,0.7767131828841723,3.00230026260944,83.88,-9.2,-10
-10.0,4.696500000000004,0.5890722291575613,3.026357398437023,20.310000000000002,-9.7,-10
-10.0,6.568520000000006,0.3363903614103998,2.2577370924230173,50.68,-10.7,-10
-10.0,5.276920000000004,0.20492991388937573,3.482005347916642,113.69,-9.5,-10
-10.0,5.456400000000003,0.1594102923716063,3.0956699443995896,115.22,-8.8,-10
-10.0,7.032700000000006,0.2351241309483385,2.6186997922506485,72.4,-9.2,-10
-10.0,4.467000000000002,0.3746641346163454,2.1667357278233563,67.34,-10.3,-10
-10.0,3.6303800000000015,0.7899176324772933,2.3164705708959765,77.73,-8.1,-10
-10.0,2.3696,0.7191212158035669,2.455533580249501,86.63,-9.6,-10
-10.0,3.769700000000002,0.4495732202337558,2.9181386479248417,71.22,-9.7,-10
-10.0,3.259900000000002,0.5479221034600747,3.525620212935957,43.84,-9.2,-10
-10.0,3.245700000000001,0.5592385334390797,3.158691374880836,98.82,-9.1,-10
-10.0,5.934800000000006,0.4443138711121986,3.639707165008481,69.72,-9.2,-10
-10.0,5.8419200000000036,0.41367653407834865,2.71028937999497,56.49,-8.7,-10
-10.0,5.575940000000004,0.44661095937568435,2.0996390182877125,92.43,-9.4,-10
-10.0,3.4943000000000017,0.39076713178585937,3.5599111294762924,110.84,-9.7,-10
-10.0,4.4096800000000025,0.7154778941320926,3.3172789511404357,52.89,-10.2,-10
-10.0,3.049800000000001,0.23699263980118218,4.404402070732379,131.59000000000003,-10.0,-10
-10.0,3.024420000000001,0.3397736621823247,3.473415950839847,138.09,-9.2,-10
-10.0,6.046000000000005,0.4203072477364413,2.1981686968807566,37.81,-8.9,-10
-10.0,1.8494999999999993,0.6713465227592174,4.756031594540259,123.11000000000001,-8.8,-10
-10.0,4.724900000000004,0.241156969550947,3.373026883848687,145.49999999999997,-10.8,-10
-10.0,3.285420000000001,0.4787717925339899,2.7207396474695873,80.51,-10.5,-10
-10.0,6.106000000000003,0.44274623227904897,2.0528667754318928,44.89,-9.8,-10
-10.0,5.217500000000004,0.42779967459106755,2.3522785453981214,81.4,-9.4,-10
-10.0,2.4528999999999996,0.06766743877374999,3.512748292270773,173.58999999999997,-7.8,-10
-10.0,6.523100000000003,0.3057966806225625,2.508402979813976,55.63,-10.4,-10
-10.0,4.124800000000003,0.5556272921097277,2.215059491656973,75.19,-8.7,-10
-10.0,4.299420000000002,0.5365006548419474,2.4045736149562202,95.75,-8.8,-10
-10.0,5.742500000000003,0.20122784994759949,2.0743391343810575,86.02,-9.8,-10
-10.0,4.694200000000004,0.5413059094866083,3.2213644617358677,37.79,-10.2,-10
-10.0,5.758440000000005,0.2581190339319209,2.65771049594721,113.53000000000002,-9.2,-10
-10.0,4.608300000000002,0.7886611900281638,2.279090184932576,55.400000000000006,-8.7,-10
-10.0,6.083600000000003,0.3005549102035952,2.46596710640903,91.92999999999999,-10.6,-10
-10.0,2.9053000000000013,0.8876785627224397,3.522745026753661,77.15,-9.5,-10
-10.0,4.999100000000005,0.40964687614789574,3.021267908943174,73.14000000000001,-9.3,-10
-10.0,4.605300000000004,0.2451569474410703,3.492023983743999,132.47,-8.6,-10
-10.0,2.6641000000000004,0.4799568654700683,2.819924032738191,113.75,-9.0,-10
-10.0,4.941560000000003,0.5334253952159547,2.5468268241173853,70.67,-9.9,-10
-10.0,3.130600000000001,0.5951335808092203,4.051930243021062,83.97,-9.2,-10
-10.0,5.009200000000004,0.6204190745172877,3.5586355930237064,26.790000000000006,-8.6,-10
-10.0,4.4414000000000025,0.5478347349455642,1.895123699495075,30.71,-9.8,-10
