Target affinity,Target logps,Predicted logps,Predicted qeds,Predicted sas,Predicted tpsas,Predicted affinity,key
-9.0,3.0,3.2443000000000017,0.15663217060971785,4.170695195730495,143.76999999999998,-9.5,-9_3
-9.0,3.0,3.3386200000000024,0.4578199488024848,2.50671003770454,72.08000000000001,-8.3,-9_3
-9.0,3.0,2.9477200000000012,0.8507958176003361,3.478841268905123,56.73,-8.3,-9_3
-9.0,3.0,2.983020000000001,0.6721704570111071,2.4893577852839694,76.53999999999999,-8.3,-9_3
-9.0,3.0,3.504800000000002,0.6131527829265263,2.2250217971559696,87.07000000000001,-8.8,-9_3
-9.0,3.0,2.7148000000000003,0.5059917742580305,3.3203416159982186,117.57999999999998,-9.4,-9_3
-9.0,3.0,3.073260000000002,0.8429321915663328,4.073395100494623,66.39999999999999,-8.5,-9_3
-9.0,3.0,3.7538000000000027,0.7432654476401466,2.248981967739585,37.269999999999996,-9.5,-9_3
-9.0,3.0,2.767220000000001,0.8459727115501742,3.836684841098684,63.38,-8.5,-9_3
-9.0,3.0,3.6147000000000027,0.42150803301153106,2.9387007156569265,110.88,-8.8,-9_3
-9.0,3.0,2.2118700000000002,0.37433883027181847,2.8634278902383734,125.58000000000001,-9.0,-9_3
-9.0,3.0,1.9046,0.7415230508349959,2.3348084793205395,106.25,-9.1,-9_3
-9.0,3.0,2.9784000000000015,0.6322088508118299,2.8893687993267765,81.75,-8.3,-9_3
-9.0,3.0,3.7459000000000024,0.35711919678271303,3.8699367292611226,113.58999999999999,-8.4,-9_3
-9.0,3.0,2.9327000000000014,0.5964379633889789,2.201928274888761,85.83,-9.0,-9_3
-9.0,3.0,2.6729200000000004,0.6271397087844697,2.082408982655517,110.0,-8.5,-9_3
-9.0,3.0,3.1861000000000006,0.40437051550831515,2.0835469728032763,136.32000000000002,-9.0,-9_3
-9.0,3.0,3.4001400000000013,0.5556834945443284,2.216692313281177,81.81,-8.6,-9_3
-9.0,3.0,2.3696400000000004,0.782849281385372,2.2487384896087477,77.75,-8.9,-9_3
-9.0,3.0,3.2395600000000018,0.557768096651609,2.7039502269198294,102.96000000000001,-8.6,-9_3
-9.0,3.0,3.0059000000000005,0.22011447840213832,3.6692654238986018,134.42000000000002,-9.4,-9_3
-9.0,3.0,2.2295999999999996,0.7287520505215098,2.332706412540583,109.41000000000001,-8.4,-9_3
-9.0,3.0,3.327000000000001,0.7253228346114873,2.2162703159602586,66.91,-8.9,-9_3
-9.0,3.0,3.3386000000000013,0.7356220016402588,1.8868841614560825,74.68,-9.7,-9_3
-9.0,3.0,3.3347000000000016,0.6182700205364764,2.0944138515770785,57.7,-8.5,-9_3
-9.0,3.0,4.161220000000003,0.59286234854765,3.83423327162569,55.89,-8.1,-9_3
-9.0,3.0,3.16622,0.29831081726222,2.712035521784216,133.96999999999997,-8.2,-9_3
-9.0,3.0,3.5831000000000017,0.698349772953171,4.861182831448501,86.71000000000001,-8.8,-9_3
-9.0,3.0,2.7964200000000012,0.8794999140706835,2.9031869238604244,67.92,-8.5,-9_3
-9.0,3.0,2.920700000000002,0.6203743882185495,2.254193531843736,106.87,-8.7,-9_3
-9.0,3.0,3.6940000000000026,0.5768288804342993,2.516473107348631,48.53,-8.6,-9_3
-9.0,3.0,2.9716000000000014,0.7548974801437612,2.7127012006957436,80.23,-7.7,-9_3
-9.0,3.0,2.3407,0.6943193477064608,2.4725388121474996,108.38000000000001,-8.4,-9_3
-9.0,3.0,2.863920000000001,0.6710176917687666,2.945235052747112,106.92,-8.3,-9_3
-9.0,3.0,3.376140000000002,0.5130300422388996,2.766944591850896,75.59,-8.8,-9_3
-9.0,3.0,2.1437,0.7240258140034602,2.382846080181217,89.07,-8.3,-9_3
-9.0,3.0,2.3591,0.7132007729430173,2.773628654145714,83.4,-8.7,-9_3
-9.0,3.0,2.1535199999999985,0.5567228173089777,2.7241793106614978,97.25999999999999,-9.4,-9_3
-9.0,3.0,3.073900000000001,0.46846238168719195,2.8631022635266117,64.32000000000001,-8.1,-9_3
-9.0,3.0,3.841040000000003,0.6540030543575163,2.876100180580627,82.86000000000001,-8.7,-9_3
-9.0,3.0,2.7116000000000007,0.6107805554744313,2.24277133453133,75.36000000000001,-7.8,-9_3
-9.0,3.0,3.1232000000000015,0.5689075005868847,3.0314601979306817,88.92,-9.0,-9_3
