Target affinity,Predicted logps,Predicted qeds,Predicted sas,Predicted tpsas,Predicted affinity,key
-10.0,3.5029200000000014,0.6182246086075076,2.979447923683189,95.81,-9.4,-10.0
-10.0,4.589500000000002,0.4779718919912825,3.0764866569379405,60.94,-9.3,-10.0
-10.0,2.891800000000003,0.42092565039566515,3.373247890238372,124.36999999999999,-9.8,-10.0
-10.0,4.7607000000000035,0.46225062868155753,2.4674590387610973,68.52000000000001,-9.3,-10.0
-10.0,5.172700000000004,0.6620183979377552,3.6807379744787614,84.22,-9.5,-10.0
-10.0,4.8395000000000055,0.3382135566827759,2.4099796795501742,87.42999999999998,-9.5,-10.0
-10.0,4.383200000000003,0.431003127114945,2.4610140594559837,89.77000000000001,-10.2,-10.0
-10.0,5.203000000000004,0.28608898064552724,2.6278628297834423,93.29,-9.8,-10.0
-10.0,5.370300000000004,0.3480379259585373,2.627485534036527,73.05000000000001,-9.4,-10.0
-10.0,4.184020000000003,0.8326998275183884,3.992294686075132,60.379999999999995,-9.7,-10.0
-10.0,4.682440000000003,0.14850348342321085,2.85981873834211,160.94,-9.6,-10.0
-10.0,6.638600000000004,0.2938725934196926,2.570721598111147,44.89,-9.5,-10.0
-10.0,4.195400000000001,0.43805861978363975,2.382453836228393,110.0,-9.6,-10.0
-10.0,6.976200000000007,0.12698200160176026,2.8388478737946823,129.23,-10.0,-10.0
-10.0,2.7093999999999996,0.4042134983176299,2.645013130488044,151.04000000000002,-9.6,-10.0
-10.0,4.442800000000003,0.5146026627339197,2.118462595635787,63.57,-9.7,-10.0
-10.0,5.080500000000004,0.5483597290954798,2.725572344713491,57.7,-9.8,-10.0
-10.0,6.037300000000004,0.40798481947222087,3.0843339599827653,59.14,-10.0,-10.0
-10.0,7.644200000000005,0.21818355931519282,2.5423295566304134,83.98,-10.2,-10.0
-10.0,5.568300000000005,0.5341208473870843,3.073287652636586,56.790000000000006,-10.4,-10.0
-10.0,4.883400000000003,0.5466783398600101,1.9866561393528137,68.01,-9.1,-10.0
-10.0,4.272900000000005,0.12332572445964692,5.266802005155651,194.73999999999995,-10.5,-10.0
-10.0,4.467940000000002,0.42531865447652456,2.3719185062011245,108.72,-9.7,-10.0
-10.0,6.175700000000008,0.1947935080004605,4.9656551936664535,97.66000000000001,-9.7,-10.0
-10.0,5.166560000000003,0.6542402385645335,2.468652566386737,41.99,-10.7,-10.0
-10.0,6.114320000000004,0.40638802341048613,2.142621814628889,67.43,-9.8,-10.0
-10.0,4.499000000000003,0.5208342550136508,3.4565713899063724,79.95,-10.1,-10.0
-10.0,5.884000000000003,0.5425611299265085,2.774875461332675,12.03,-10.2,-10.0
-10.0,5.928400000000006,0.29220173236724994,2.7623884948179604,64.6,-10.5,-10.0
-10.0,4.582320000000004,0.24643114940214728,3.3791804516789625,123.33000000000001,-8.9,-10.0
-10.0,1.7279,0.2528479570716784,3.2639736609614873,206.44,-9.5,-10.0
-10.0,5.168520000000002,0.45983984511676307,2.2185100446626613,93.18,-9.8,-10.0
-10.0,4.9303000000000035,0.3381905716377931,2.8161380647889214,86.50999999999999,-10.3,-10.0
-10.0,6.666100000000006,0.15105560663020048,2.681836101096918,113.41,-9.3,-10.0
-10.0,6.489400000000005,0.4817140286825931,4.215604713654143,50.72,-10.7,-10.0
-10.0,6.248440000000003,0.08165669348122875,3.3536165409375363,170.16,-9.7,-10.0
-10.0,7.478100000000004,0.2184889156314284,3.253458889130304,76.93,-9.9,-10.0
-10.0,2.913000000000001,0.255017225248919,2.994902262744949,150.72999999999996,-10.2,-10.0
-10.0,3.5309000000000017,0.39201917334351644,4.684685006422488,155.5,-9.2,-10.0
-10.0,5.483300000000003,0.29197206526414987,2.140425847667773,112.89999999999999,-10.0,-10.0
-10.0,3.5771000000000006,0.36070083464064306,2.843597434866414,104.1,-9.4,-10.0
