Target affinity,Target sas,Predicted logps,Predicted qeds,Predicted sas,Predicted tpsas,Predicted affinity,key
-9.0,2.0,2.844940000000001,0.7639904827024263,2.1079652282896273,95.57999999999998,-9.2,-9_2
-9.0,2.0,4.046940000000002,0.8908830256130419,1.9728545721922757,47.56,-8.6,-9_2
-9.0,2.0,2.956800000000001,0.48864359584619893,1.9811050823304885,66.69,-8.1,-9_2
-9.0,2.0,4.698820000000003,0.4003920958294361,2.0256538908165087,100.91999999999999,-9.6,-9_2
-9.0,2.0,3.8537000000000026,0.588337241373921,1.9153484470451225,77.98,-8.8,-9_2
-9.0,2.0,2.7949,0.7737583683448143,1.8883712655284803,80.9,-8.7,-9_2
-9.0,2.0,5.0888000000000035,0.5674977691537466,1.9515929340008533,50.7,-9.3,-9_2
-9.0,2.0,6.203200000000003,0.4686044341755058,2.097569465892132,28.68,-8.9,-9_2
-9.0,2.0,6.316600000000003,0.35916867986622264,2.0676690831242013,46.92,-8.8,-9_2
-9.0,2.0,4.058100000000003,0.9207706785324558,1.9526343763241663,49.410000000000004,-9.2,-9_2
-9.0,2.0,2.7239000000000004,0.6785053073959828,2.034199093582778,86.88,-8.0,-9_2
-9.0,2.0,5.777200000000004,0.34181201091166435,2.0005767754318935,85.13,-8.9,-9_2
-9.0,2.0,3.438200000000002,0.6460503991212354,2.0155330019056574,101.73,-8.8,-9_2
-9.0,2.0,5.339900000000004,0.5783329551576364,2.108553334465393,37.38,-8.6,-9_2
-9.0,2.0,3.582620000000002,0.9075295846226973,1.9613339784895523,41.99,-8.6,-9_2
-9.0,2.0,4.075300000000003,0.6827076082318737,2.0229496159125535,68.17,-7.9,-9_2
-9.0,2.0,1.6018999999999992,0.8848454118762014,1.9665015822705616,92.49999999999999,-8.4,-9_2
-9.0,2.0,3.474400000000002,0.6968120868907121,1.9616157695303293,41.49,-8.9,-9_2
-9.0,2.0,1.91512,0.7605737347193564,2.1470064201231303,83.96000000000001,-8.2,-9_2
-9.0,2.0,2.966400000000001,0.5601556325252425,2.092383353090426,92.09000000000002,-8.3,-9_2
-9.0,2.0,5.209120000000002,0.7076322802855297,2.048813145754899,55.13,-9.2,-9_2
-9.0,2.0,2.4679,0.7379349272939321,2.114143815319389,71.77,-8.3,-9_2
-9.0,2.0,5.1792400000000045,0.613781848662726,2.0355227369703552,36.690000000000005,-8.7,-9_2
-9.0,2.0,5.166220000000004,0.4766010008941409,2.0110532440420776,85.09,-9.3,-9_2
-9.0,2.0,6.574500000000004,0.3825227275629619,2.1815882792674284,37.81,-8.8,-9_2
-9.0,2.0,3.813760000000003,0.8455180074653541,1.9440318439797508,38.13,-9.0,-9_2
-9.0,2.0,3.548700000000002,0.6204110802186368,1.9580838717364024,70.58000000000001,-8.3,-9_2
-9.0,2.0,4.016300000000002,0.5952017744396365,1.9438562941323845,70.67,-9.3,-9_2
-9.0,2.0,4.412220000000004,0.7460832288048926,2.064234904985284,69.72,-8.9,-9_2
-9.0,2.0,3.612400000000002,0.5141026063782838,1.9688930935228228,112.93,-8.5,-9_2
-9.0,2.0,5.269600000000004,0.5773945794529073,2.021098361897403,52.650000000000006,-8.8,-9_2
-9.0,2.0,4.349900000000003,0.4513080615300705,2.010483941584818,54.6,-9.1,-9_2
-9.0,2.0,3.470320000000002,0.862000793281761,2.0536178983150837,79.37,-9.0,-9_2
-9.0,2.0,5.013820000000003,0.6861215745075213,1.9968467451809175,51.22,-9.5,-9_2
-9.0,2.0,4.858440000000004,0.5503156247160039,2.0022891415467914,49.69,-8.3,-9_2
-9.0,2.0,5.481600000000004,0.4628967346950127,2.020343492949797,46.92,-8.7,-9_2
-9.0,2.0,5.749100000000004,0.24338296770171863,2.0283577786640805,85.13,-8.6,-9_2
-9.0,2.0,4.346600000000002,0.4792648822458565,2.0418348375776674,70.56,-8.5,-9_2
-9.0,2.0,3.7028000000000025,0.659298390554423,2.0003544523186108,74.33,-9.1,-9_2
-9.0,2.0,3.728600000000002,0.8685770987008052,2.0956125002465615,55.4,-8.6,-9_2
-9.0,2.0,3.0868200000000012,0.8519364587910614,2.080463825091096,87.74000000000001,-8.1,-9_2
-9.0,2.0,4.092620000000001,0.7475888567417073,2.0203961628050493,68.01,-8.8,-9_2
-9.0,2.0,4.056700000000004,0.684915630568071,2.0383836130387323,45.92,-8.9,-9_2
-9.0,2.0,4.2596000000000025,0.6794045913952483,2.0761401962465005,74.33000000000001,-9.5,-9_2
-9.0,2.0,3.6042200000000015,0.546203714849899,1.9906842586944293,83.7,-8.9,-9_2
-9.0,2.0,4.098200000000001,0.44826922646081163,2.1159363720547546,78.1,-9.2,-9_2
-9.0,2.0,4.335800000000004,0.6291566818443921,1.9766497971559698,44.7,-8.5,-9_2
-9.0,2.0,4.647540000000003,0.543615522706071,2.0222288589409203,74.85,-9.1,-9_2
-9.0,2.0,4.346500000000003,0.8467205129461829,1.9452864238995193,32.34,-8.8,-9_2
-9.0,2.0,4.873820000000004,0.5405976863772995,1.9816969798141955,48.150000000000006,-9.5,-9_2
-9.0,2.0,4.862540000000004,0.5360242309033183,1.9625456907519947,59.81,-9.3,-9_2
-9.0,2.0,4.646800000000004,0.3115590372313703,2.0297642048988536,93.82999999999998,-8.6,-9_2
-9.0,2.0,3.9887000000000024,0.7479053706237164,1.9640070362412079,71.09,-9.7,-9_2
-9.0,2.0,5.215800000000003,0.6042765483386647,2.03438454171968,36.69,-8.7,-9_2
-9.0,2.0,2.764000000000001,0.715110261910703,2.0527377961575475,62.99,-8.6,-9_2
-9.0,2.0,4.120300000000003,0.7786018554213747,1.9201412569666623,31.4,-8.8,-9_2
-9.0,2.0,1.8045999999999995,0.5745662481288188,2.0945318322833657,131.5,-8.8,-9_2
-9.0,2.0,4.852720000000004,0.6435396329802459,1.9778468298741974,12.89,-8.5,-9_2
-9.0,2.0,5.433900000000004,0.4208473521136895,2.1521552907830337,64.35,-9.2,-9_2
-9.0,2.0,5.377220000000006,0.5173149463060667,2.01924834063872,70.66999999999999,-9.2,-9_2
-9.0,2.0,4.528000000000003,0.4375303566460664,2.1169956888842307,88.16,-9.0,-9_2
-9.0,2.0,4.7409000000000034,0.535277834850251,1.9718246589619053,30.71,-9.5,-9_2
-9.0,2.0,5.719900000000004,0.5955632837681601,2.0297555840027286,38.92,-9.5,-9_2
-9.0,2.0,2.1820000000000004,0.3701926975109905,2.018178957836172,106.82,-8.5,-9_2
-9.0,2.0,2.8934200000000017,0.9141776221660824,2.0576734124686684,70.15,-8.5,-9_2
-9.0,2.0,4.004640000000002,0.7834167069004784,2.131481483668548,59.81,-9.2,-9_2
-9.0,2.0,3.302800000000002,0.6918202942261109,1.8401918126097883,26.3,-8.1,-9_2
-9.0,2.0,5.585620000000004,0.391163991164188,2.239524507798203,79.78999999999999,-8.6,-9_2
-9.0,2.0,2.4642999999999993,0.7446320868396639,1.9175659280174315,80.9,-8.5,-9_2
-9.0,2.0,3.739740000000003,0.6346902665983687,2.10402372023289,92.55000000000001,-8.4,-9_2
-9.0,2.0,1.9453399999999998,0.772450891651852,1.8905956053677446,83.96000000000001,-8.6,-9_2
-9.0,2.0,2.5768000000000018,0.5910546660911952,2.2359204657211063,90.9,-8.3,-9_2
-9.0,2.0,4.547900000000002,0.4849204588131599,2.076850279705397,67.43,-8.5,-9_2
-9.0,2.0,2.7628000000000013,0.5532911921663555,2.030154964331601,104.37,-9.0,-9_2
-9.0,2.0,4.383100000000002,0.662774224877513,2.0869036946315447,72.19,-9.8,-9_2
-9.0,2.0,2.4830000000000005,0.7226035182239593,2.0743906230669005,74.43,-7.9,-9_2
-9.0,2.0,4.4894000000000025,0.6695400535086519,2.0397149987489254,61.440000000000005,-9.9,-9_2
-9.0,2.0,3.6697000000000024,0.7954342532700055,2.2785358515612586,67.77000000000001,-8.3,-9_2
-9.0,2.0,2.894700000000001,0.47256580662035447,2.042918195634119,100.83000000000001,-9.1,-9_2
